cx	cy	cz	q_scalar	q_x	q_y	q_z
-10.621242	-0.947056	0.189439	0.133680	0.967355	-0.037742	0.211968
-10.621042	-0.947556	0.189539	0.133043	0.967798	-0.037367	0.210404
-10.620842	-0.948056	0.189639	0.132407	0.968239	-0.036994	0.208839
-10.620642	-0.948556	0.189739	0.131772	0.968676	-0.036623	0.207272
-10.620442	-0.949056	0.189839	0.131138	0.969110	-0.036253	0.205704
-10.620242	-0.949556	0.189939	0.130504	0.969541	-0.035884	0.204136
-10.620042	-0.950056	0.190039	0.129871	0.969969	-0.035516	0.202566
-10.619842	-0.950556	0.190139	0.129239	0.970393	-0.035150	0.200994
-10.619642	-0.951056	0.190239	0.128607	0.970815	-0.034786	0.199422
-10.619442	-0.951556	0.190339	0.127976	0.971233	-0.034422	0.197849
-10.619242	-0.952056	0.190439	0.127346	0.971648	-0.034061	0.196274
-10.619042	-0.952556	0.190539	0.126716	0.972060	-0.033700	0.194699
-10.618842	-0.953056	0.190639	0.126087	0.972468	-0.033341	0.193122
-10.618642	-0.953556	0.190739	0.125459	0.972874	-0.032983	0.191544
-10.618442	-0.954056	0.190839	0.124831	0.973276	-0.032627	0.189966
-10.618242	-0.954556	0.190939	0.124205	0.973675	-0.032272	0.188386
-10.618042	-0.955056	0.191039	0.123579	0.974071	-0.031919	0.186805
-10.617842	-0.955556	0.191139	0.122953	0.974463	-0.031566	0.185223
-10.617642	-0.956056	0.191239	0.122329	0.974853	-0.031215	0.183640
-10.617442	-0.956556	0.191339	0.121705	0.975239	-0.030866	0.182056
-10.617243	-0.957056	0.191439	0.121081	0.975622	-0.030518	0.180471
-10.617043	-0.957556	0.191539	0.120459	0.976002	-0.030171	0.178884
-10.616843	-0.958056	0.191639	0.119837	0.976379	-0.029825	0.177297
-10.616643	-0.958556	0.191739	0.119216	0.976752	-0.029481	0.175709
-10.616443	-0.959057	0.191839	0.118596	0.977122	-0.029138	0.174120
-10.616243	-0.959557	0.191939	0.117976	0.977490	-0.028797	0.172530
-10.616043	-0.960057	0.192039	0.117357	0.977854	-0.028457	0.170939
-10.615843	-0.960557	0.192139	0.116739	0.978214	-0.028118	0.169346
-10.615643	-0.961057	0.192239	0.116122	0.978572	-0.027780	0.167753
-10.615443	-0.961557	0.192339	0.115505	0.978926	-0.027444	0.166159
-10.615243	-0.962057	0.192439	0.114889	0.979277	-0.027109	0.164564
-10.615043	-0.962557	0.192540	0.114274	0.979625	-0.026776	0.162968
-10.614843	-0.963057	0.192640	0.113660	0.979970	-0.026443	0.161371
