ax	ay	az
-0.000518	0.000405	-0.020027
-0.001312	-0.000549	-0.005714
-0.000267	0.001007	-0.019805
-0.000885	0.000121	-0.019801
-0.000305	-0.000356	-0.014997
-0.000758	0.000146	-0.010061
-0.000302	0.000783	-0.019679
-0.000735	-0.000774	-0.014861
0.000375	0.000336	-0.019548
-0.000970	0.000509	-0.009842
0.000263	-0.000896	-0.019216
-0.000892	0.000704	-0.014738
0.001005	0.000075	-0.019086
-0.001007	-0.000385	-0.014617
0.000534	0.000276	-0.014170
0.000149	0.000288	-0.019089
0.000005	-0.000816	-0.014149
0.000028	0.000461	-0.014272
0.000148	-0.000455	-0.019070
0.000532	0.000157	-0.009233
0.000824	-0.000240	-0.023295
-0.000748	0.000002	-0.009355
0.001331	-0.000096	-0.023177
0.000503	-0.000379	-0.014062
0.000494	0.000057	-0.013533
0.000429	-0.000329	-0.013949
0.001089	0.000404	-0.018129
0.000412	-0.000809	-0.018599
0.001241	0.000099	-0.013309
0.000173	-0.000642	-0.013637
0.001783	0.000168	-0.018096
0.000464	-0.000760	-0.017954
0.001376	-0.000029	-0.018267
0.001006	-0.000233	-0.012937
0.000963	-0.000281	-0.013531
0.001699	-0.000139	-0.017473
0.000949	-0.000545	-0.013496
0.000935	-0.000747	-0.017392
0.002359	-0.000188	-0.017748
0.000916	0.000108	-0.017816
0.001391	-0.000358	-0.008092
0.001694	-0.001098	-0.022085
0.002091	0.000240	-0.017441
0.001227	-0.000563	-0.012833
0.001680	-0.000610	-0.017031
0.002336	-0.000878	-0.012818
0.001562	-0.000103	-0.021847
0.001742	0.000118	-0.012761
0.002083	-0.001118	-0.012135
0.002145	-0.000383	-0.021658
0.001969	-0.001133	-0.012613
0.002045	0.000428	-0.016678
0.002392	-0.001415	-0.016958
0.002553	-0.000014	-0.017011
0.002187	-0.000609	-0.011879
0.002456	-0.000947	-0.021433
0.002280	-0.000461	-0.012016
0.002549	-0.000396	-0.016638
0.002591	-0.001157	-0.016554
0.002336	-0.000304	-0.016581
0.003457	-0.000767	-0.016483
0.002002	-0.000590	-0.011811
0.003125	-0.000950	-0.020741
0.002524	-0.000885	-0.011987
0.003655	-0.000445	-0.020600
0.002314	-0.000877	-0.016304
0.003433	-0.000423	-0.011528
0.002630	-0.001123	-0.016152
0.003977	-0.000361	-0.020440
0.002495	-0.001396	-0.016290
0.003095	-0.000839	-0.006477
0.003701	-0.000690	-0.025423
0.003184	-0.000684	-0.011002
0.003803	-0.001132	-0.020404
0.003850	-0.000510	-0.015820
0.002911	-0.001403	-0.015504
0.003503	-0.000222	-0.015922
0.003764	-0.001931	-0.010900
0.004194	-0.000419	-0.019980
0.003533	-0.000871	-0.020433
0.003825	-0.000643	-0.010580
0.003876	-0.001390	-0.015589
0.004223	-0.001297	-0.024387
0.004013	-0.000912	-0.006297
0.003791	-0.000915	-0.019653
0.004264	-0.000885	-0.015369
0.004264	-0.001238	-0.019831
0.003957	-0.001364	-0.015105
0.004965	-0.001012	-0.014932
0.003747	-0.000669	-0.010444
0.004769	-0.001290	-0.024117
0.004847	-0.001289	-0.015136
0.003743	-0.001048	-0.014850
0.005241	-0.001623	-0.014712
0.004340	-0.000527	-0.014994
0.004783	-0.002127	-0.023893
0.005181	-0.000334	-0.005258
0.004511	-0.001615	-0.024161
0.005033	-0.001046	-0.019100
0.004509	-0.001746	-0.005314
0.005704	-0.000858	-0.023981
0.004995	-0.001384	-0.014301
0.004927	-0.001612	-0.019108
0.005467	-0.001014	-0.014276
0.005020	-0.001366	-0.014598
0.005158	-0.001325	-0.018710
0.005282	-0.001857	-0.009680
0.006192	-0.000899	-0.028117
0.004608	-0.001879	-0.004696
0.006307	-0.001151	-0.023568
0.005647	-0.001332	-0.014102
0.005384	-0.001535	-0.014295
0.005313	-0.001675	-0.018261
0.006679	-0.001158	-0.018744
0.005353	-0.001727	-0.018227
0.006200	-0.001491	-0.009726
0.005539	-0.001675	-0.018312
0.006353	-0.001555	-0.018197
0.006213	-0.001456	-0.013952
0.005654	-0.001523	-0.018169
0.006473	-0.001679	-0.018620
0.006665	-0.001942	-0.013436
0.005770	-0.001437	-0.018187
0.006819	-0.001468	-0.013594
0.006496	-0.001921	-0.022813
0.006221	-0.001729	-0.013403
0.006115	-0.001717	-0.013407
0.007522	-0.001428	-0.017925
0.006491	-0.002144	-0.018137
0.006284	-0.001511	-0.013296
0.006849	-0.002080	-0.018051
0.007524	-0.001012	-0.017616
0.006560	-0.002993	-0.013320
0.006799	-0.000896	-0.022513
0.007739	-0.002011	-0.012856
0.006643	-0.002143	-0.018028
0.007601	-0.001512	-0.017406
0.006437	-0.002323	-0.013307
0.007476	-0.001803	-0.017497
0.007774	-0.002057	-0.017544
0.007058	-0.001528	-0.017300
0.007418	-0.002549	-0.013104
0.007582	-0.001642	-0.022240
0.008073	-0.002311	-0.017227
0.007694	-0.001368	-0.012743
0.007152	-0.002418	-0.012864
0.008067	-0.001741	-0.021885
0.007644	-0.002621	-0.017297
0.008241	-0.002353	-0.017167
0.007829	-0.001176	-0.017154
0.008013	-0.002399	-0.012730
0.007646	-0.002490	-0.017228
0.008688	-0.002230	-0.021554
0.007772	-0.001912	-0.012676
0.008960	-0.002337	-0.021559
0.007703	-0.001969	-0.012196
0.008015	-0.002678	-0.017247
0.009563	-0.001900	-0.016788
0.007636	-0.002556	-0.021910
0.008942	-0.001978	-0.007382
0.009036	-0.002167	-0.026010
0.007927	-0.002971	-0.016907
0.009507	-0.001875	-0.012182
0.007512	-0.002597	-0.016876
0.009797	-0.002415	-0.021508
0.008745	-0.002316	-0.011846
0.009405	-0.002163	-0.021184
0.008507	-0.002792	-0.012411
0.009306	-0.002438	-0.020742
0.009200	-0.002277	-0.017086
0.009145	-0.002513	-0.011707
0.009518	-0.003018	-0.025934
0.009031	-0.002146	-0.011556
0.009441	-0.002704	-0.016763
0.009843	-0.002637	-0.020942
0.009593	-0.002186	-0.011852
0.009769	-0.002883	-0.021198
0.009148	-0.002440	-0.016018
0.009344	-0.003074	-0.021104
0.010329	-0.002304	-0.011834
0.010276	-0.002944	-0.020778
0.009688	-0.002672	-0.016204
0.009598	-0.002488	-0.011720
0.010293	-0.002565	-0.025499
0.010052	-0.003172	-0.015998
0.009624	-0.003268	-0.011788
0.010663	-0.002357	-0.020718
0.010900	-0.002864	-0.020525
0.009437	-0.002503	-0.011683
0.011282	-0.003229	-0.020507
0.009323	-0.002823	-0.016294
0.011423	-0.002663	-0.015754
0.010249	-0.003318	-0.025516
0.010726	-0.003029	-0.006594
0.010981	-0.003025	-0.025025
0.010874	-0.002389	-0.015980
0.010280	-0.003442	-0.016072
0.011301	-0.003089	-0.020326
0.010665	-0.003224	-0.011326
0.011468	-0.002855	-0.025245
0.010256	-0.002916	-0.011018
0.012153	-0.003573	-0.025020
0.010453	-0.002955	-0.006559
0.012273	-0.003277	-0.029544
0.010611	-0.002851	-0.011174
0.011595	-0.003328	-0.015606
0.011269	-0.003263	-0.025241
0.012358	-0.003373	-0.015419
0.010300	-0.003223	-0.011108
0.011922	-0.003405	-0.024908
0.012731	-0.003255	-0.015597
0.011237	-0.003231	-0.015606
0.011740	-0.003655	-0.020247
0.011403	-0.003178	-0.015525
0.012758	-0.003404	-0.020059
0.011574	-0.003707	-0.015784
0.012643	-0.002819	-0.019865
0.011722	-0.004185	-0.020343
0.012220	-0.002885	-0.015341
0.013058	-0.003617	-0.015474
0.011540	-0.004043	-0.024570
0.012614	-0.003442	-0.010985
0.012881	-0.003281	-0.020073
0.012221	-0.003671	-0.019937
0.012176	-0.003975	-0.015435
0.013548	-0.003598	-0.024398
0.012069	-0.003593	-0.011069
0.012866	-0.003588	-0.015376
0.013095	-0.003772	-0.024295
0.013048	-0.003992	-0.019932
0.012700	-0.003743	-0.015420
0.013220	-0.003337	-0.015293
0.013173	-0.004346	-0.019986
0.013131	-0.003722	-0.019719
0.013351	-0.003686	-0.019892
0.013015	-0.003869	-0.015370
0.013260	-0.004243	-0.019780
0.014078	-0.004147	-0.019800
0.013138	-0.003341	-0.010778
0.013983	-0.004407	-0.024230
0.012759	-0.004058	-0.015320
0.014753	-0.003651	-0.024261
0.013252	-0.004794	-0.015234
0.014065	-0.003359	-0.015130
0.013450	-0.004735	-0.024425
0.014584	-0.003396	-0.015168
0.013909	-0.004879	-0.019679
0.013302	-0.003939	-0.019848
0.014441	-0.004265	-0.015072
