cx	cy	cz	q_scalar	q_x	q_y	q_z
-11.000027	0.000025	-0.000001	1.000000	0.000000	0.000000	0.000000
-10.999627	-0.000975	0.000199	0.999998	0.000500	0.001667	0.000166
-10.999427	-0.001475	0.000299	0.999994	0.000999	0.003334	0.000332
-10.999227	-0.001975	0.000399	0.999986	0.001497	0.005001	0.000496
-10.999027	-0.002475	0.000500	0.999976	0.001995	0.006668	0.000660
-10.998827	-0.002975	0.000600	0.999962	0.002492	0.008335	0.000822
-10.998627	-0.003475	0.000700	0.999945	0.002989	0.010003	0.000984
-10.998427	-0.003975	0.000800	0.999925	0.003485	0.011671	0.001145
-10.998227	-0.004475	0.000900	0.999902	0.003981	0.013338	0.001305
-10.998027	-0.004975	0.001000	0.999876	0.004476	0.015006	0.001464
-10.997827	-0.005475	0.001100	0.999847	0.004970	0.016674	0.001622
-10.997627	-0.005975	0.001200	0.999815	0.005464	0.018342	0.001780
-10.997427	-0.006475	0.001300	0.999780	0.005957	0.020011	0.001936
-10.997228	-0.006975	0.001400	0.999742	0.006449	0.021679	0.002092
-10.997028	-0.007475	0.001500	0.999701	0.006941	0.023347	0.002246
-10.996828	-0.007975	0.001600	0.999657	0.007432	0.025016	0.002400
-10.996628	-0.008475	0.001700	0.999609	0.007923	0.026685	0.002553
-10.996428	-0.008976	0.001800	0.999559	0.008413	0.028353	0.002705
-10.996228	-0.009476	0.001900	0.999506	0.008903	0.030022	0.002857
-10.996028	-0.009976	0.002000	0.999449	0.009391	0.031691	0.003007
-10.995828	-0.010476	0.002100	0.999390	0.009880	0.033360	0.003156
-10.995628	-0.010976	0.002200	0.999327	0.010367	0.035029	0.003305
-10.995428	-0.011476	0.002300	0.999261	0.010855	0.036698	0.003453
-10.995228	-0.011976	0.002400	0.999193	0.011341	0.038367	0.003600
-10.995028	-0.012476	0.002500	0.999121	0.011827	0.040036	0.003746
-10.994828	-0.012976	0.002600	0.999047	0.012312	0.041705	0.003891
-10.994628	-0.013476	0.002700	0.998969	0.012797	0.043374	0.004036
-10.994428	-0.013976	0.002800	0.998888	0.013281	0.045043	0.004179
-10.994228	-0.014476	0.002900	0.998804	0.013765	0.046712	0.004322
-10.994028	-0.014976	0.003000	0.998717	0.014247	0.048381	0.004463
-10.993828	-0.015476	0.003100	0.998627	0.014730	0.050051	0.004604
-10.993628	-0.015976	0.003200	0.998535	0.015211	0.051720	0.004744
-10.993428	-0.016476	0.003300	0.998439	0.015693	0.053389	0.004884
-10.993228	-0.016976	0.003400	0.998340	0.016173	0.055058	0.005022
-10.993028	-0.017476	0.003500	0.998237	0.016653	0.056727	0.005159
-10.992828	-0.017976	0.003600	0.998132	0.017132	0.058396	0.005296
-10.992628	-0.018476	0.003700	0.998024	0.017611	0.060065	0.005432
-10.992428	-0.018976	0.003800	0.997913	0.018089	0.061734	0.005567
-10.992228	-0.019476	0.003900	0.997799	0.018567	0.063403	0.005701
-10.992028	-0.019976	0.004000	0.997682	0.019044	0.065072	0.005834
-10.991828	-0.020477	0.004100	0.997562	0.019520	0.066741	0.005967
-10.991628	-0.020977	0.004200	0.997438	0.019996	0.068410	0.006098
-10.991428	-0.021477	0.004300	0.997312	0.020471	0.070079	0.006229
-10.991228	-0.021977	0.004400	0.997183	0.020946	0.071747	0.006359
-10.991028	-0.022477	0.004500	0.997050	0.021420	0.073416	0.006488
-10.990828	-0.022977	0.004600	0.996915	0.021893	0.075085	0.006616
-10.990628	-0.023477	0.004700	0.996776	0.022366	0.076753	0.006744
-10.990428	-0.023977	0.004800	0.996635	0.022838	0.078421	0.006871
-10.990228	-0.024477	0.004900	0.996491	0.023310	0.080090	0.006996
-10.990028	-0.024977	0.005000	0.996343	0.023781	0.081758	0.007121
-10.989828	-0.025477	0.005100	0.996193	0.024251	0.083426	0.007245
-10.989628	-0.025977	0.005200	0.996039	0.024721	0.085094	0.007369
-10.989428	-0.026477	0.005301	0.995882	0.025190	0.086761	0.007491
-10.989228	-0.026977	0.005401	0.995723	0.025659	0.088429	0.007613
-10.989028	-0.027477	0.005501	0.995560	0.026127	0.090097	0.007733
-10.988828	-0.027977	0.005601	0.995395	0.026594	0.091764	0.007853
-10.988628	-0.028477	0.005701	0.995226	0.027061	0.093431	0.007972
-10.988428	-0.028977	0.005801	0.995054	0.027528	0.095098	0.008091
-10.988228	-0.029477	0.005901	0.994880	0.027993	0.096765	0.008208
-10.988028	-0.029977	0.006001	0.994702	0.028458	0.098432	0.008325
-10.987828	-0.030477	0.006101	0.994521	0.028923	0.100098	0.008441
-10.987628	-0.030977	0.006201	0.994338	0.029387	0.101765	0.008556
-10.987428	-0.031477	0.006301	0.994151	0.029850	0.103431	0.008670
-10.987228	-0.031977	0.006401	0.993961	0.030313	0.105097	0.008783
-10.987028	-0.032478	0.006501	0.993768	0.030775	0.106763	0.008896
-10.986828	-0.032978	0.006601	0.993573	0.031237	0.108429	0.009008
-10.986628	-0.033478	0.006701	0.993374	0.031698	0.110094	0.009119
-10.986428	-0.033978	0.006801	0.993172	0.032158	0.111759	0.009229
-10.986228	-0.034478	0.006901	0.992967	0.032618	0.113424	0.009338
-10.986028	-0.034978	0.007001	0.992759	0.033077	0.115089	0.009447
-10.985828	-0.035478	0.007101	0.992549	0.033536	0.116754	0.009554
-10.985628	-0.035978	0.007201	0.992335	0.033994	0.118418	0.009661
-10.985428	-0.036478	0.007301	0.992118	0.034452	0.120082	0.009767
-10.985228	-0.036978	0.007401	0.991898	0.034909	0.121746	0.009872
-10.985028	-0.037478	0.007501	0.991675	0.035365	0.123410	0.009977
-10.984828	-0.037978	0.007601	0.991449	0.035821	0.125073	0.010081
-10.984628	-0.038478	0.007701	0.991221	0.036276	0.126737	0.010183
-10.984428	-0.038978	0.007801	0.990989	0.036731	0.128399	0.010285
-10.984228	-0.039478	0.007901	0.990754	0.037185	0.130062	0.010387
-10.984028	-0.039978	0.008001	0.990516	0.037638	0.131724	0.010487
-10.983828	-0.040478	0.008101	0.990275	0.038091	0.133386	0.010587
-10.983628	-0.040978	0.008201	0.990031	0.038543	0.135048	0.010685
-10.983428	-0.041478	0.008301	0.989785	0.038995	0.136710	0.010783
-10.983228	-0.041978	0.008401	0.989535	0.039446	0.138371	0.010881
-10.983028	-0.042478	0.008501	0.989282	0.039897	0.140032	0.010977
-10.982828	-0.042978	0.008601	0.989026	0.040347	0.141692	0.011073
-10.982628	-0.043478	0.008701	0.988767	0.040796	0.143353	0.011167
-10.982428	-0.043979	0.008801	0.988506	0.041245	0.145012	0.011261
-10.982228	-0.044479	0.008901	0.988241	0.041693	0.146672	0.011354
-10.982028	-0.044979	0.009001	0.987973	0.042141	0.148331	0.011447
-10.981828	-0.045479	0.009101	0.987702	0.042588	0.149990	0.011538
-10.981628	-0.045979	0.009201	0.987429	0.043034	0.151649	0.011629
-10.981428	-0.046479	0.009301	0.987152	0.043480	0.153307	0.011719
-10.981228	-0.046979	0.009401	0.986872	0.043926	0.154965	0.011809
-10.981028	-0.047479	0.009501	0.986590	0.044371	0.156623	0.011897
-10.980828	-0.047979	0.009601	0.986304	0.044815	0.158280	0.011984
-10.980628	-0.048479	0.009701	0.986015	0.045258	0.159937	0.012071
-10.980428	-0.048979	0.009801	0.985724	0.045701	0.161593	0.012157
-10.980228	-0.049479	0.009901	0.985429	0.046144	0.163249	0.012243
-10.980028	-0.049979	0.010001	0.985132	0.046586	0.164905	0.012327
-10.979828	-0.050479	0.010102	0.984831	0.047027	0.166560	0.012411
-10.979628	-0.050979	0.010202	0.984527	0.047468	0.168215	0.012493
-10.979428	-0.051479	0.010302	0.984221	0.047908	0.169870	0.012576
-10.979228	-0.051979	0.010402	0.983912	0.048348	0.171524	0.012657
-10.979028	-0.052479	0.010502	0.983599	0.048787	0.173177	0.012737
-10.978828	-0.052979	0.010602	0.983284	0.049225	0.174831	0.012817
-10.978628	-0.053479	0.010702	0.982965	0.049663	0.176484	0.012896
-10.978428	-0.053979	0.010802	0.982644	0.050101	0.178136	0.012974
-10.978228	-0.054479	0.010902	0.982320	0.050537	0.179788	0.013051
-10.978028	-0.054979	0.011002	0.981992	0.050974	0.181439	0.013128
-10.977828	-0.055480	0.011102	0.981662	0.051409	0.183091	0.013203
-10.977628	-0.055980	0.011202	0.981329	0.051844	0.184741	0.013278
-10.977428	-0.056480	0.011302	0.980993	0.052279	0.186391	0.013353
-10.977228	-0.056980	0.011402	0.980654	0.052713	0.188041	0.013426
