cx	cy	cz	q_scalar	q_x	q_y	q_z
-11.000027	0.000025	-0.000001	0.707107	0.000000	0.000000	-0.707107
-10.999627	-0.000975	0.000199	0.707223	0.001532	0.000825	-0.706988
-10.999427	-0.001475	0.000299	0.707337	0.003064	0.001651	-0.706868
-10.999227	-0.001975	0.000399	0.707448	0.004595	0.002477	-0.706746
-10.999027	-0.002475	0.000500	0.707556	0.006126	0.003304	-0.706623
-10.998827	-0.002975	0.000600	0.707661	0.007656	0.004132	-0.706498
-10.998627	-0.003475	0.000700	0.707764	0.009187	0.004959	-0.706372
-10.998427	-0.003975	0.000800	0.707863	0.010717	0.005788	-0.706244
-10.998227	-0.004475	0.000900	0.707960	0.012246	0.006617	-0.706115
-10.998027	-0.004975	0.001000	0.708054	0.013776	0.007446	-0.705984
-10.997827	-0.005475	0.001100	0.708146	0.015305	0.008276	-0.705852
-10.997627	-0.005975	0.001200	0.708234	0.016833	0.009107	-0.705718
-10.997427	-0.006475	0.001300	0.708320	0.018362	0.009938	-0.705582
-10.997228	-0.006975	0.001400	0.708403	0.019890	0.010769	-0.705445
-10.997028	-0.007475	0.001500	0.708484	0.021417	0.011601	-0.705307
-10.996828	-0.007975	0.001600	0.708561	0.022944	0.012433	-0.705167
-10.996628	-0.008475	0.001700	0.708636	0.024471	0.013266	-0.705025
-10.996428	-0.008976	0.001800	0.708708	0.025998	0.014100	-0.704882
-10.996228	-0.009476	0.001900	0.708777	0.027524	0.014934	-0.704737
-10.996028	-0.009976	0.002000	0.708844	0.029050	0.015768	-0.704591
-10.995828	-0.010476	0.002100	0.708907	0.030575	0.016603	-0.704443
-10.995628	-0.010976	0.002200	0.708968	0.032100	0.017438	-0.704294
-10.995428	-0.011476	0.002300	0.709026	0.033624	0.018274	-0.704143
-10.995228	-0.011976	0.002400	0.709082	0.035149	0.019110	-0.703991
-10.995028	-0.012476	0.002500	0.709134	0.036672	0.019947	-0.703837
-10.994828	-0.012976	0.002600	0.709184	0.038196	0.020784	-0.703681
-10.994628	-0.013476	0.002700	0.709231	0.039719	0.021621	-0.703524
-10.994428	-0.013976	0.002800	0.709275	0.041241	0.022459	-0.703366
-10.994228	-0.014476	0.002900	0.709317	0.042764	0.023298	-0.703205
-10.994028	-0.014976	0.003000	0.709356	0.044285	0.024136	-0.703044
-10.993828	-0.015476	0.003100	0.709392	0.045807	0.024976	-0.702881
-10.993628	-0.015976	0.003200	0.709425	0.047328	0.025815	-0.702716
-10.993428	-0.016476	0.003300	0.709456	0.048848	0.026655	-0.702549
-10.993228	-0.016976	0.003400	0.709484	0.050368	0.027496	-0.702382
-10.993028	-0.017476	0.003500	0.709509	0.051888	0.028337	-0.702212
-10.992828	-0.017976	0.003600	0.709531	0.053407	0.029178	-0.702041
-10.992628	-0.018476	0.003700	0.709551	0.054926	0.030020	-0.701869
-10.992428	-0.018976	0.003800	0.709568	0.056444	0.030862	-0.701695
-10.992228	-0.019476	0.003900	0.709582	0.057962	0.031704	-0.701519
-10.992028	-0.019976	0.004000	0.709593	0.059479	0.032547	-0.701342
-10.991828	-0.020477	0.004100	0.709602	0.060996	0.033390	-0.701163
-10.991628	-0.020977	0.004200	0.709608	0.062512	0.034234	-0.700983
-10.991428	-0.021477	0.004300	0.709611	0.064028	0.035078	-0.700801
-10.991228	-0.021977	0.004400	0.709611	0.065544	0.035922	-0.700618
-10.991028	-0.022477	0.004500	0.709609	0.067059	0.036767	-0.700433
-10.990828	-0.022977	0.004600	0.709604	0.068573	0.037612	-0.700247
-10.990628	-0.023477	0.004700	0.709596	0.070088	0.038458	-0.700059
-10.990428	-0.023977	0.004800	0.709586	0.071601	0.039303	-0.699869
-10.990228	-0.024477	0.004900	0.709572	0.073114	0.040149	-0.699678
-10.990028	-0.024977	0.005000	0.709556	0.074627	0.040996	-0.699485
-10.989828	-0.025477	0.005100	0.709538	0.076139	0.041843	-0.699291
-10.989628	-0.025977	0.005200	0.709516	0.077651	0.042690	-0.699096
-10.989428	-0.026477	0.005301	0.709492	0.079162	0.043537	-0.698898
-10.989228	-0.026977	0.005401	0.709465	0.080672	0.044385	-0.698700
-10.989028	-0.027477	0.005501	0.709436	0.082182	0.045233	-0.698499
-10.988828	-0.027977	0.005601	0.709403	0.083692	0.046082	-0.698297
-10.988628	-0.028477	0.005701	0.709368	0.085201	0.046931	-0.698094
-10.988428	-0.028977	0.005801	0.709331	0.086710	0.047780	-0.697889
-10.988228	-0.029477	0.005901	0.709290	0.088218	0.048629	-0.697682
-10.988028	-0.029977	0.006001	0.709247	0.089725	0.049479	-0.697474
-10.987828	-0.030477	0.006101	0.709201	0.091232	0.050329	-0.697264
-10.987628	-0.030977	0.006201	0.709153	0.092738	0.051179	-0.697053
-10.987428	-0.031477	0.006301	0.709101	0.094244	0.052030	-0.696840
-10.987228	-0.031977	0.006401	0.709047	0.095750	0.052880	-0.696626
-10.987028	-0.032478	0.006501	0.708991	0.097254	0.053731	-0.696410
-10.986828	-0.032978	0.006601	0.708931	0.098759	0.054583	-0.696192
-10.986628	-0.033478	0.006701	0.708869	0.100262	0.055435	-0.695973
-10.986428	-0.033978	0.006801	0.708804	0.101765	0.056286	-0.695753
-10.986228	-0.034478	0.006901	0.708737	0.103268	0.057139	-0.695531
-10.986028	-0.034978	0.007001	0.708667	0.104770	0.057991	-0.695307
-10.985828	-0.035478	0.007101	0.708594	0.106271	0.058844	-0.695082
-10.985628	-0.035978	0.007201	0.708518	0.107772	0.059697	-0.694855
-10.985428	-0.036478	0.007301	0.708440	0.109272	0.060550	-0.694627
-10.985228	-0.036978	0.007401	0.708359	0.110772	0.061403	-0.694397
-10.985028	-0.037478	0.007501	0.708275	0.112271	0.062257	-0.694166
-10.984828	-0.037978	0.007601	0.708189	0.113769	0.063111	-0.693933
-10.984628	-0.038478	0.007701	0.708099	0.115267	0.063965	-0.693698
-10.984428	-0.038978	0.007801	0.708008	0.116765	0.064820	-0.693462
-10.984228	-0.039478	0.007901	0.707913	0.118261	0.065674	-0.693224
-10.984028	-0.039978	0.008001	0.707816	0.119757	0.066529	-0.692985
-10.983828	-0.040478	0.008101	0.707716	0.121253	0.067384	-0.692745
-10.983628	-0.040978	0.008201	0.707614	0.122748	0.068239	-0.692502
-10.983428	-0.041478	0.008301	0.707508	0.124242	0.069095	-0.692258
-10.983228	-0.041978	0.008401	0.707400	0.125736	0.069950	-0.692013
-10.983028	-0.042478	0.008501	0.707290	0.127229	0.070806	-0.691766
-10.982828	-0.042978	0.008601	0.707177	0.128721	0.071662	-0.691518
-10.982628	-0.043478	0.008701	0.707061	0.130213	0.072518	-0.691268
-10.982428	-0.043979	0.008801	0.706942	0.131704	0.073375	-0.691016
-10.982228	-0.044479	0.008901	0.706821	0.133194	0.074231	-0.690763
-10.982028	-0.044979	0.009001	0.706697	0.134684	0.075088	-0.690508
-10.981828	-0.045479	0.009101	0.706570	0.136173	0.075945	-0.690252
-10.981628	-0.045979	0.009201	0.706441	0.137662	0.076802	-0.689994
-10.981428	-0.046479	0.009301	0.706309	0.139150	0.077659	-0.689735
-10.981228	-0.046979	0.009401	0.706174	0.140637	0.078517	-0.689474
-10.981028	-0.047479	0.009501	0.706037	0.142124	0.079374	-0.689212
-10.980828	-0.047979	0.009601	0.705896	0.143610	0.080232	-0.688948
-10.980628	-0.048479	0.009701	0.705754	0.145095	0.081090	-0.688682
-10.980428	-0.048979	0.009801	0.705608	0.146579	0.081948	-0.688415
-10.980228	-0.049479	0.009901	0.705460	0.148063	0.082806	-0.688147
-10.980028	-0.049979	0.010001	0.705310	0.149547	0.083664	-0.687877
-10.979828	-0.050479	0.010102	0.705156	0.151029	0.084523	-0.687605
-10.979628	-0.050979	0.010202	0.705000	0.152511	0.085381	-0.687332
-10.979428	-0.051479	0.010302	0.704842	0.153992	0.086240	-0.687057
-10.979228	-0.051979	0.010402	0.704680	0.155473	0.087098	-0.686781
-10.979028	-0.052479	0.010502	0.704516	0.156952	0.087957	-0.686503
-10.978828	-0.052979	0.010602	0.704349	0.158432	0.088816	-0.686224
-10.978628	-0.053479	0.010702	0.704180	0.159910	0.089675	-0.685943
-10.978428	-0.053979	0.010802	0.704008	0.161388	0.090535	-0.685660
-10.978228	-0.054479	0.010902	0.703833	0.162865	0.091394	-0.685376
