cx	cy	cz	q_scalar	q_x	q_y	q_z
-10.769037	-0.577524	0.115523	0.609886	-0.526176	-0.574508	0.145319
-10.768837	-0.578024	0.115623	0.611225	-0.524525	-0.574591	0.145338
-10.768637	-0.578524	0.115724	0.612560	-0.522869	-0.574674	0.145358
-10.768437	-0.579024	0.115824	0.613890	-0.521209	-0.574757	0.145381
-10.768237	-0.579524	0.115924	0.615215	-0.519545	-0.574840	0.145405
-10.768037	-0.580024	0.116024	0.616536	-0.517877	-0.574923	0.145430
-10.767837	-0.580524	0.116124	0.617853	-0.516204	-0.575007	0.145457
-10.767637	-0.581024	0.116224	0.619165	-0.514528	-0.575091	0.145486
-10.767437	-0.581524	0.116324	0.620472	-0.512847	-0.575175	0.145516
-10.767237	-0.582024	0.116424	0.621776	-0.511163	-0.575260	0.145547
-10.767037	-0.582524	0.116524	0.623074	-0.509474	-0.575345	0.145580
-10.766837	-0.583024	0.116624	0.624368	-0.507781	-0.575430	0.145615
-10.766637	-0.583525	0.116724	0.625657	-0.506084	-0.575515	0.145651
-10.766437	-0.584025	0.116824	0.626942	-0.504384	-0.575600	0.145689
-10.766237	-0.584525	0.116924	0.628222	-0.502679	-0.575686	0.145728
-10.766037	-0.585025	0.117024	0.629497	-0.500970	-0.575772	0.145769
-10.765837	-0.585525	0.117124	0.630768	-0.499257	-0.575859	0.145811
-10.765637	-0.586025	0.117224	0.632034	-0.497540	-0.575946	0.145855
-10.765437	-0.586525	0.117324	0.633295	-0.495819	-0.576033	0.145900
-10.765237	-0.587025	0.117424	0.634552	-0.494095	-0.576120	0.145947
-10.765037	-0.587525	0.117524	0.635804	-0.492366	-0.576207	0.145995
-10.764837	-0.588025	0.117624	0.637051	-0.490633	-0.576295	0.146044
-10.764637	-0.588525	0.117724	0.638293	-0.488897	-0.576384	0.146095
-10.764437	-0.589025	0.117824	0.639531	-0.487156	-0.576472	0.146148
-10.764237	-0.589525	0.117924	0.640763	-0.485412	-0.576561	0.146202
-10.764037	-0.590025	0.118024	0.641991	-0.483664	-0.576650	0.146257
-10.763837	-0.590525	0.118124	0.643214	-0.481912	-0.576739	0.146314
-10.763637	-0.591025	0.118224	0.644432	-0.480156	-0.576829	0.146372
-10.763437	-0.591525	0.118324	0.645646	-0.478397	-0.576919	0.146432
-10.763237	-0.592025	0.118424	0.646854	-0.476634	-0.577010	0.146493
-10.763037	-0.592525	0.118524	0.648057	-0.474867	-0.577101	0.146555
-10.762837	-0.593025	0.118624	0.649256	-0.473096	-0.577192	0.146619
-10.762637	-0.593525	0.118724	0.650449	-0.471321	-0.577283	0.146684
-10.762437	-0.594025	0.118824	0.651638	-0.469543	-0.577375	0.146750
-10.762237	-0.594525	0.118924	0.652822	-0.467761	-0.577467	0.146818
-10.762037	-0.595026	0.119024	0.654000	-0.465975	-0.577559	0.146887
-10.761837	-0.595526	0.119124	0.655174	-0.464186	-0.577652	0.146957
-10.761637	-0.596026	0.119224	0.656342	-0.462393	-0.577745	0.147029
-10.761437	-0.596526	0.119324	0.657506	-0.460597	-0.577839	0.147102
-10.761237	-0.597026	0.119424	0.658664	-0.458796	-0.577933	0.147177
-10.761037	-0.597526	0.119524	0.659817	-0.456993	-0.578027	0.147253
-10.760837	-0.598026	0.119624	0.660966	-0.455185	-0.578122	0.147330
-10.760637	-0.598526	0.119724	0.662109	-0.453374	-0.578217	0.147408
-10.760437	-0.599026	0.119824	0.663247	-0.451560	-0.578312	0.147488
-10.760237	-0.599526	0.119924	0.664379	-0.449742	-0.578408	0.147568
-10.760037	-0.600026	0.120024	0.665507	-0.447920	-0.578504	0.147651
-10.759837	-0.600526	0.120124	0.666630	-0.446095	-0.578601	0.147734
-10.759637	-0.601026	0.120224	0.667747	-0.444267	-0.578698	0.147819
-10.759437	-0.601526	0.120324	0.668859	-0.442435	-0.578795	0.147904
-10.759237	-0.602026	0.120424	0.669966	-0.440600	-0.578892	0.147992
-10.759037	-0.602526	0.120525	0.671067	-0.438761	-0.578991	0.148080
-10.758837	-0.603026	0.120625	0.672163	-0.436919	-0.579089	0.148169
-10.758637	-0.603526	0.120725	0.673254	-0.435073	-0.579188	0.148260
-10.758437	-0.604026	0.120825	0.674340	-0.433224	-0.579287	0.148352
-10.758237	-0.604526	0.120925	0.675421	-0.431372	-0.579387	0.148445
-10.758037	-0.605026	0.121025	0.676496	-0.429517	-0.579487	0.148539
-10.757837	-0.605526	0.121125	0.677565	-0.427658	-0.579587	0.148635
-10.757637	-0.606026	0.121225	0.678630	-0.425796	-0.579688	0.148732
-10.757437	-0.606526	0.121325	0.679689	-0.423930	-0.579790	0.148829
-10.757237	-0.607027	0.121425	0.680742	-0.422062	-0.579891	0.148928
-10.757037	-0.607527	0.121525	0.681791	-0.420190	-0.579994	0.149028
-10.756837	-0.608027	0.121625	0.682834	-0.418315	-0.580096	0.149129
-10.756637	-0.608527	0.121725	0.683871	-0.416436	-0.580199	0.149232
-10.756437	-0.609027	0.121825	0.684903	-0.414555	-0.580303	0.149335
-10.756237	-0.609527	0.121925	0.685929	-0.412670	-0.580407	0.149440
-10.756037	-0.610027	0.122025	0.686950	-0.410783	-0.580511	0.149545
-10.755837	-0.610527	0.122125	0.687966	-0.408892	-0.580616	0.149652
-10.755637	-0.611027	0.122225	0.688976	-0.406998	-0.580721	0.149759
-10.755437	-0.611527	0.122325	0.689981	-0.405101	-0.580827	0.149868
-10.755237	-0.612027	0.122425	0.690980	-0.403201	-0.580933	0.149978
-10.755037	-0.612527	0.122525	0.691973	-0.401298	-0.581039	0.150089
-10.754837	-0.613027	0.122625	0.692961	-0.399392	-0.581146	0.150201
-10.754637	-0.613527	0.122725	0.693943	-0.397483	-0.581254	0.150314
-10.754437	-0.614027	0.122825	0.694920	-0.395571	-0.581362	0.150427
-10.754237	-0.614527	0.122925	0.695891	-0.393656	-0.581470	0.150542
-10.754037	-0.615027	0.123025	0.696857	-0.391738	-0.581579	0.150658
-10.753837	-0.615527	0.123125	0.697817	-0.389817	-0.581688	0.150775
-10.753637	-0.616027	0.123225	0.698771	-0.387893	-0.581798	0.150893
-10.753437	-0.616527	0.123325	0.699720	-0.385967	-0.581908	0.151012
-10.753237	-0.617027	0.123425	0.700663	-0.384037	-0.582019	0.151132
-10.753037	-0.617527	0.123525	0.701600	-0.382105	-0.582130	0.151252
-10.752837	-0.618027	0.123625	0.702532	-0.380170	-0.582242	0.151374
-10.752637	-0.618528	0.123725	0.703458	-0.378232	-0.582354	0.151497
-10.752437	-0.619028	0.123825	0.704378	-0.376291	-0.582467	0.151620
-10.752237	-0.619528	0.123925	0.705293	-0.374348	-0.582580	0.151744
-10.752037	-0.620028	0.124025	0.706202	-0.372402	-0.582693	0.151870
-10.751837	-0.620528	0.124125	0.707105	-0.370453	-0.582807	0.151996
-10.751637	-0.621028	0.124225	0.708002	-0.368501	-0.582922	0.152123
-10.751437	-0.621528	0.124325	0.708894	-0.366547	-0.583037	0.152251
-10.751237	-0.622028	0.124425	0.709780	-0.364591	-0.583153	0.152380
-10.751037	-0.622528	0.124525	0.710660	-0.362631	-0.583269	0.152509
-10.750837	-0.623028	0.124625	0.711534	-0.360669	-0.583385	0.152640
-10.750637	-0.623528	0.124725	0.712402	-0.358705	-0.583502	0.152771
-10.750437	-0.624028	0.124825	0.713265	-0.356737	-0.583620	0.152903
-10.750237	-0.624528	0.124925	0.714122	-0.354768	-0.583738	0.153036
-10.750037	-0.625028	0.125025	0.714973	-0.352796	-0.583856	0.153170
-10.749837	-0.625528	0.125125	0.715818	-0.350821	-0.583976	0.153304
-10.749637	-0.626028	0.125225	0.716657	-0.348844	-0.584095	0.153439
-10.749437	-0.626528	0.125326	0.717490	-0.346864	-0.584215	0.153575
-10.749237	-0.627028	0.125426	0.718318	-0.344882	-0.584336	0.153712
-10.749037	-0.627528	0.125526	0.719139	-0.342898	-0.584457	0.153850
-10.748837	-0.628028	0.125626	0.719955	-0.340911	-0.584579	0.153988
-10.748637	-0.628528	0.125726	0.720765	-0.338922	-0.584701	0.154127
-10.748437	-0.629028	0.125826	0.721568	-0.336931	-0.584824	0.154267
-10.748237	-0.629528	0.125926	0.722366	-0.334937	-0.584947	0.154407
-10.748037	-0.630028	0.126026	0.723158	-0.332941	-0.585071	0.154548
-10.747837	-0.630529	0.126126	0.723944	-0.330942	-0.585195	0.154690
-10.747637	-0.631029	0.126226	0.724724	-0.328942	-0.585320	0.154832
-10.747437	-0.631529	0.126326	0.725498	-0.326939	-0.585445	0.154975
-10.747237	-0.632029	0.126426	0.726266	-0.324934	-0.585571	0.155119
-10.747037	-0.632529	0.126526	0.727028	-0.322927	-0.585697	0.155264
-10.746837	-0.633029	0.126626	0.727784	-0.320917	-0.585824	0.155409
-10.746637	-0.633529	0.126726	0.728534	-0.318906	-0.585952	0.155554
-10.746437	-0.634029	0.126826	0.729278	-0.316892	-0.586080	0.155701
-10.746237	-0.634529	0.126926	0.730016	-0.314876	-0.586208	0.155848
-10.746037	-0.635029	0.127026	0.730748	-0.312859	-0.586338	0.155995
-10.745837	-0.635529	0.127126	0.731474	-0.310839	-0.586467	0.156143
-10.745637	-0.636029	0.127226	0.732194	-0.308817	-0.586597	0.156292
-10.745437	-0.636529	0.127326	0.732908	-0.306793	-0.586728	0.156441
-10.745237	-0.637029	0.127426	0.733616	-0.304767	-0.586860	0.156591
-10.745037	-0.637529	0.127526	0.734317	-0.302739	-0.586991	0.156741
-10.744837	-0.638029	0.127626	0.735013	-0.300710	-0.587124	0.156892
-10.744637	-0.638529	0.127726	0.735703	-0.298678	-0.587257	0.157043
-10.744437	-0.639029	0.127826	0.736386	-0.296645	-0.587390	0.157195
-10.744237	-0.639529	0.127926	0.737063	-0.294609	-0.587524	0.157347
-10.744037	-0.640029	0.128026	0.737734	-0.292572	-0.587659	0.157500
-10.743838	-0.640529	0.128126	0.738400	-0.290533	-0.587794	0.157653
-10.743638	-0.641029	0.128226	0.739058	-0.288492	-0.587930	0.157807
-10.743438	-0.641529	0.128326	0.739711	-0.286449	-0.588066	0.157961
-10.743238	-0.642030	0.128426	0.740358	-0.284405	-0.588203	0.158116
-10.743038	-0.642530	0.128526	0.740998	-0.282359	-0.588341	0.158271
-10.742838	-0.643030	0.128626	0.741633	-0.280311	-0.588479	0.158427
-10.742638	-0.643530	0.128726	0.742261	-0.278262	-0.588618	0.158582
-10.742438	-0.644030	0.128826	0.742883	-0.276210	-0.588757	0.158739
-10.742238	-0.644530	0.128926	0.743499	-0.274158	-0.588896	0.158895
-10.742038	-0.645030	0.129026	0.744109	-0.272103	-0.589037	0.159053
-10.741838	-0.645530	0.129126	0.744712	-0.270047	-0.589178	0.159210
-10.741638	-0.646030	0.129226	0.745310	-0.267990	-0.589319	0.159368
-10.741438	-0.646530	0.129326	0.745901	-0.265931	-0.589461	0.159526
-10.741238	-0.647030	0.129426	0.746486	-0.263870	-0.589604	0.159685
-10.741038	-0.647530	0.129526	0.747064	-0.261808	-0.589747	0.159843
-10.740838	-0.648030	0.129626	0.747637	-0.259744	-0.589891	0.160003
-10.740638	-0.648530	0.129726	0.748203	-0.257679	-0.590035	0.160162
-10.740438	-0.649030	0.129826	0.748763	-0.255613	-0.590180	0.160322
-10.740238	-0.649530	0.129926	0.749317	-0.253545	-0.590326	0.160482
-10.740038	-0.650030	0.130026	0.749865	-0.251476	-0.590472	0.160642
-10.739838	-0.650530	0.130127	0.750406	-0.249405	-0.590618	0.160803
-10.739638	-0.651030	0.130227	0.750941	-0.247333	-0.590766	0.160964
-10.739438	-0.651530	0.130327	0.751470	-0.245260	-0.590914	0.161125
-10.739238	-0.652030	0.130427	0.751993	-0.243185	-0.591062	0.161286
-10.739038	-0.652530	0.130527	0.752509	-0.241109	-0.591211	0.161448
-10.738838	-0.653030	0.130627	0.753020	-0.239032	-0.591361	0.161609
-10.738638	-0.653530	0.130727	0.753524	-0.236954	-0.591511	0.161771
-10.738438	-0.654031	0.130827	0.754021	-0.234874	-0.591662	0.161933
-10.738238	-0.654531	0.130927	0.754513	-0.232794	-0.591813	0.162096
-10.738038	-0.655031	0.131027	0.754998	-0.230712	-0.591965	0.162258
-10.737838	-0.655531	0.131127	0.755477	-0.228629	-0.592118	0.162421
-10.737638	-0.656031	0.131227	0.755949	-0.226545	-0.592271	0.162584
-10.737438	-0.656531	0.131327	0.756416	-0.224460	-0.592424	0.162747
-10.737238	-0.657031	0.131427	0.756876	-0.222374	-0.592579	0.162910
-10.737038	-0.657531	0.131527	0.757329	-0.220287	-0.592734	0.163073
-10.736838	-0.658031	0.131627	0.757777	-0.218198	-0.592889	0.163236
-10.736638	-0.658531	0.131727	0.758218	-0.216109	-0.593045	0.163399
-10.736438	-0.659031	0.131827	0.758653	-0.214019	-0.593202	0.163563
-10.736238	-0.659531	0.131927	0.759082	-0.211928	-0.593359	0.163726
-10.736038	-0.660031	0.132027	0.759504	-0.209836	-0.593517	0.163890
-10.735838	-0.660531	0.132127	0.759920	-0.207743	-0.593676	0.164054
-10.735638	-0.661031	0.132227	0.760330	-0.205649	-0.593835	0.164217
-10.735438	-0.661531	0.132327	0.760733	-0.203555	-0.593995	0.164381
-10.735238	-0.662031	0.132427	0.761130	-0.201459	-0.594155	0.164545
-10.735038	-0.662531	0.132527	0.761521	-0.199363	-0.594316	0.164708
-10.734838	-0.663031	0.132627	0.761905	-0.197266	-0.594477	0.164872
-10.734638	-0.663531	0.132727	0.762284	-0.195168	-0.594640	0.165036
-10.734438	-0.664031	0.132827	0.762656	-0.193070	-0.594802	0.165199
-10.734238	-0.664531	0.132927	0.763021	-0.190970	-0.594966	0.165363
-10.734038	-0.665031	0.133027	0.763381	-0.188870	-0.595129	0.165527
-10.733838	-0.665532	0.133127	0.763734	-0.186770	-0.595294	0.165690
-10.733638	-0.666032	0.133227	0.764080	-0.184669	-0.595459	0.165854
-10.733438	-0.666532	0.133327	0.764421	-0.182567	-0.595625	0.166017
-10.733238	-0.667032	0.133427	0.764755	-0.180465	-0.595791	0.166180
-10.733038	-0.667532	0.133527	0.765082	-0.178362	-0.595958	0.166343
-10.732838	-0.668032	0.133627	0.765404	-0.176258	-0.596125	0.166507
-10.732638	-0.668532	0.133727	0.765719	-0.174154	-0.596294	0.166670
-10.732438	-0.669032	0.133827	0.766028	-0.172050	-0.596462	0.166832
-10.732238	-0.669532	0.133927	0.766330	-0.169945	-0.596632	0.166995
-10.732038	-0.670032	0.134027	0.766627	-0.167839	-0.596801	0.167158
-10.731838	-0.670532	0.134127	0.766917	-0.165733	-0.596972	0.167320
-10.731638	-0.671032	0.134227	0.767200	-0.163627	-0.597143	0.167482
-10.731438	-0.671532	0.134327	0.767478	-0.161520	-0.597315	0.167644
-10.731238	-0.672032	0.134427	0.767749	-0.159413	-0.597487	0.167806
-10.731038	-0.672532	0.134527	0.768013	-0.157306	-0.597660	0.167968
-10.730838	-0.673032	0.134627	0.768272	-0.155198	-0.597833	0.168129
-10.730638	-0.673532	0.134727	0.768524	-0.153090	-0.598007	0.168290
-10.730438	-0.674032	0.134827	0.768770	-0.150982	-0.598182	0.168451
-10.730238	-0.674532	0.134928	0.769009	-0.148873	-0.598357	0.168612
-10.730038	-0.675032	0.135028	0.769242	-0.146765	-0.598533	0.168773
-10.729838	-0.675532	0.135128	0.769469	-0.144656	-0.598710	0.168933
-10.729638	-0.676032	0.135228	0.769690	-0.142547	-0.598887	0.169093
-10.729438	-0.676532	0.135328	0.769904	-0.140437	-0.599065	0.169252
-10.729238	-0.677032	0.135428	0.770112	-0.138328	-0.599243	0.169412
-10.729038	-0.677533	0.135528	0.770314	-0.136219	-0.599422	0.169571
-10.728838	-0.678033	0.135628	0.770510	-0.134109	-0.599601	0.169730
-10.728638	-0.678533	0.135728	0.770699	-0.131999	-0.599781	0.169888
-10.728438	-0.679033	0.135828	0.770882	-0.129890	-0.599962	0.170046
-10.728238	-0.679533	0.135928	0.771058	-0.127780	-0.600143	0.170204
-10.728038	-0.680033	0.136028	0.771229	-0.125670	-0.600325	0.170361
-10.727838	-0.680533	0.136128	0.771393	-0.123561	-0.600507	0.170518
-10.727638	-0.681033	0.136228	0.771551	-0.121451	-0.600690	0.170675
-10.727438	-0.681533	0.136328	0.771703	-0.119341	-0.600874	0.170831
-10.727238	-0.682033	0.136428	0.771848	-0.117232	-0.601058	0.170987
-10.727038	-0.682533	0.136528	0.771987	-0.115123	-0.601243	0.171142
-10.726838	-0.683033	0.136628	0.772120	-0.113013	-0.601428	0.171297
-10.726638	-0.683533	0.136728	0.772246	-0.110904	-0.601614	0.171452
-10.726438	-0.684033	0.136828	0.772367	-0.108796	-0.601801	0.171606
-10.726238	-0.684533	0.136928	0.772481	-0.106687	-0.601988	0.171759
-10.726038	-0.685033	0.137028	0.772589	-0.104578	-0.602176	0.171913
-10.725838	-0.685533	0.137128	0.772691	-0.102470	-0.602364	0.172065
-10.725638	-0.686033	0.137228	0.772786	-0.100362	-0.602553	0.172218
-10.725438	-0.686533	0.137328	0.772875	-0.098255	-0.602743	0.172369
-10.725238	-0.687033	0.137428	0.772958	-0.096147	-0.602933	0.172521
-10.725038	-0.687533	0.137528	0.773035	-0.094040	-0.603123	0.172671
-10.724838	-0.688033	0.137628	0.773106	-0.091934	-0.603315	0.172822
-10.724638	-0.688533	0.137728	0.773170	-0.089827	-0.603506	0.172971
-10.724438	-0.689034	0.137828	0.773228	-0.087722	-0.603699	0.173121
-10.724238	-0.689534	0.137928	0.773280	-0.085616	-0.603892	0.173269
-10.724038	-0.690034	0.138028	0.773326	-0.083511	-0.604085	0.173417
-10.723838	-0.690534	0.138128	0.773366	-0.081407	-0.604280	0.173565
-10.723638	-0.691034	0.138228	0.773399	-0.079303	-0.604474	0.173712
-10.723438	-0.691534	0.138328	0.773426	-0.077199	-0.604670	0.173858
-10.723238	-0.692034	0.138428	0.773447	-0.075096	-0.604865	0.174004
-10.723038	-0.692534	0.138528	0.773462	-0.072994	-0.605062	0.174149
-10.722838	-0.693034	0.138628	0.773471	-0.070892	-0.605259	0.174294
-10.722638	-0.693534	0.138728	0.773474	-0.068790	-0.605456	0.174438
-10.722438	-0.694034	0.138828	0.773470	-0.066690	-0.605655	0.174581
-10.722238	-0.694534	0.138928	0.773461	-0.064590	-0.605853	0.174723
-10.722038	-0.695034	0.139028	0.773445	-0.062490	-0.606053	0.174865
-10.721838	-0.695534	0.139128	0.773423	-0.060392	-0.606252	0.175007
-10.721638	-0.696034	0.139228	0.773395	-0.058294	-0.606453	0.175147
-10.721438	-0.696534	0.139328	0.773361	-0.056196	-0.606654	0.175287
-10.721238	-0.697034	0.139428	0.773321	-0.054100	-0.606855	0.175427
-10.721038	-0.697534	0.139528	0.773275	-0.052004	-0.607057	0.175565
-10.720838	-0.698034	0.139628	0.773222	-0.049909	-0.607260	0.175703
-10.720638	-0.698534	0.139729	0.773164	-0.047815	-0.607463	0.175840
-10.720438	-0.699034	0.139829	0.773099	-0.045721	-0.607667	0.175977
-10.720238	-0.699534	0.139929	0.773029	-0.043629	-0.607871	0.176112
-10.720038	-0.700034	0.140029	0.772952	-0.041537	-0.608076	0.176247
-10.719838	-0.700535	0.140129	0.772869	-0.039446	-0.608282	0.176381
-10.719638	-0.701035	0.140229	0.772781	-0.037356	-0.608488	0.176515
