wx	wy	wz
0.088098	0.336491	-0.001630
0.088103	0.336488	-0.001770
0.088114	0.336492	-0.001951
0.088118	0.336484	-0.002137
0.088130	0.336485	-0.002270
0.088132	0.336478	-0.002407
0.088150	0.336480	-0.002588
0.088154	0.336472	-0.002767
0.088168	0.336472	-0.002950
0.088178	0.336470	-0.003079
0.088188	0.336467	-0.003214
0.088205	0.336465	-0.003389
0.088214	0.336460	-0.003524
0.088224	0.336452	-0.003698
0.088247	0.336451	-0.003875
0.088256	0.336452	-0.004054
0.088270	0.336448	-0.004135
0.088287	0.336437	-0.004355
0.088308	0.336439	-0.004530
0.088320	0.336434	-0.004658
0.088337	0.336428	-0.004828
0.088360	0.336419	-0.004957
0.088376	0.336418	-0.005175
0.088394	0.336419	-0.005303
0.088414	0.336408	-0.005424
0.088436	0.336404	-0.005641
0.088455	0.336393	-0.005767
0.088476	0.336397	-0.005934
0.088500	0.336383	-0.006103
0.088525	0.336383	-0.006273
0.088547	0.336377	-0.006392
0.088572	0.336367	-0.006606
0.088595	0.336363	-0.006727
0.088620	0.336359	-0.006893
0.088646	0.336347	-0.007058
0.088669	0.336344	-0.007224
0.088704	0.336336	-0.007389
0.088724	0.336330	-0.007507
0.088755	0.336321	-0.007715
0.088780	0.336312	-0.007834
0.088817	0.336308	-0.008040
0.088840	0.336299	-0.008204
0.088874	0.336295	-0.008319
0.088901	0.336283	-0.008480
0.088941	0.336280	-0.008685
0.088965	0.336266	-0.008848
0.088996	0.336257	-0.008912
0.089033	0.336251	-0.009167
0.089065	0.336244	-0.009277
0.089103	0.336232	-0.009481
0.089142	0.336227	-0.009639
0.089171	0.336213	-0.009794
0.089206	0.336211	-0.009953
0.089244	0.336192	-0.010062
0.089286	0.336188	-0.010262
0.089321	0.336179	-0.010466
0.089359	0.336172	-0.010572
0.089398	0.336158	-0.010728
0.089440	0.336146	-0.010972
0.089480	0.336136	-0.011035
0.089518	0.336127	-0.011231
0.089561	0.336118	-0.011385
0.089603	0.336106	-0.011583
0.089643	0.336092	-0.011734
0.089693	0.336082	-0.011884
