wx	wy	wz
0.238370	0.258206	-0.155684
0.238800	0.257815	-0.156040
0.239238	0.257433	-0.156319
0.239677	0.257044	-0.156682
0.240125	0.256664	-0.157042
0.240540	0.256271	-0.157323
0.240998	0.255883	-0.157688
0.241425	0.255486	-0.157965
0.241869	0.255093	-0.158368
0.242305	0.254704	-0.158655
0.242762	0.254303	-0.159010
0.243181	0.253909	-0.159339
0.243627	0.253506	-0.159619
0.244059	0.253103	-0.160017
0.244512	0.252701	-0.160345
0.244944	0.252300	-0.160665
0.245395	0.251892	-0.160952
0.245826	0.251484	-0.161351
0.246262	0.251079	-0.161639
0.246715	0.250665	-0.161961
0.247141	0.250251	-0.162322
0.247592	0.249836	-0.162648
0.248052	0.249427	-0.163008
0.248475	0.249012	-0.163334
0.248912	0.248582	-0.163616
0.249357	0.248167	-0.163983
0.249801	0.247750	-0.164305
0.250260	0.247329	-0.164672
0.250677	0.246893	-0.164956
0.251122	0.246471	-0.165313
0.251590	0.246048	-0.165645
0.252004	0.245614	-0.165969
0.252470	0.245185	-0.166330
0.252900	0.244747	-0.166655
0.253349	0.244318	-0.166943
0.253785	0.243878	-0.167342
0.254237	0.243440	-0.167628
0.254660	0.243005	-0.167956
0.255134	0.242564	-0.168317
0.255553	0.242114	-0.168641
0.256012	0.241675	-0.168966
0.256447	0.241225	-0.169288
0.256903	0.240788	-0.169616
0.257343	0.240328	-0.170018
0.257788	0.239882	-0.170299
0.258214	0.239423	-0.170593
0.258682	0.238979	-0.170991
0.259106	0.238514	-0.171276
0.259570	0.238062	-0.171676
0.259997	0.237603	-0.171923
0.260443	0.237136	-0.172329
0.260905	0.236679	-0.172610
0.261326	0.236216	-0.172936
0.261772	0.235739	-0.173297
0.262230	0.235284	-0.173620
0.262673	0.234808	-0.173981
0.263104	0.234337	-0.174269
0.263560	0.233867	-0.174628
0.263999	0.233393	-0.174912
0.264436	0.232913	-0.175315
0.264891	0.232439	-0.175598
0.265329	0.231956	-0.175920
0.265791	0.231481	-0.176317
0.266211	0.230992	-0.176606
0.266661	0.230510	-0.176921
0.267104	0.230024	-0.177253
0.267538	0.229535	-0.177565
0.267994	0.229046	-0.177930
0.268425	0.228552	-0.178252
0.268892	0.228062	-0.178607
0.269322	0.227564	-0.178926
0.269759	0.227070	-0.179246
0.270198	0.226568	-0.179572
0.270648	0.226073	-0.179893
0.271098	0.225572	-0.180245
0.271517	0.225063	-0.180532
0.271980	0.224563	-0.180884
0.272412	0.224053	-0.181204
0.272842	0.223544	-0.181528
0.273314	0.223033	-0.181915
0.273726	0.222521	-0.182163
0.274170	0.222006	-0.182548
0.274637	0.221497	-0.182871
0.275060	0.220974	-0.183188
0.275485	0.220453	-0.183466
0.275946	0.219938	-0.183861
0.276371	0.219409	-0.184133
0.276830	0.218885	-0.184524
0.277245	0.218363	-0.184806
0.277679	0.217829	-0.185122
0.278151	0.217308	-0.185469
0.278565	0.216770	-0.185787
0.279008	0.216241	-0.186098
0.279445	0.215700	-0.186446
0.279883	0.215166	-0.186801
0.280321	0.214631	-0.187075
0.280757	0.214086	-0.187417
0.281191	0.213547	-0.187701
0.281639	0.213002	-0.188084
0.282042	0.212453	-0.188355
0.282515	0.211912	-0.188739
0.282931	0.211358	-0.189012
0.283372	0.210809	-0.189357
0.283798	0.210254	-0.189667
0.284237	0.209701	-0.189976
0.284660	0.209144	-0.190283
0.285097	0.208585	-0.190663
0.285531	0.208027	-0.190934
0.285970	0.207468	-0.191274
0.286383	0.206898	-0.191581
0.286830	0.206340	-0.191885
0.287260	0.205768	-0.192228
0.287689	0.205200	-0.192564
0.288115	0.204628	-0.192871
0.288557	0.204066	-0.193170
0.288964	0.203480	-0.193476
